canonical_UniProtAC	condensate_id	condensate_name	condensate_type
Q8IWA0	91857CE7	Nucleolus	biomolecular
P51991	91857CE7	Nucleolus	biomolecular
Q8TED0	91857CE7	Nucleolus	biomolecular
P18858	91857CE7	Nucleolus	biomolecular
Q9NXF1	91857CE7	Nucleolus	biomolecular
Q15833	91857CE7	Nucleolus	biomolecular
Q14137	91857CE7	Nucleolus	biomolecular
P68400	91857CE7	Nucleolus	biomolecular
P18074	91857CE7	Nucleolus	biomolecular
Q5F1R6	91857CE7	Nucleolus	biomolecular
O15160	91857CE7	Nucleolus	biomolecular
Q9P287	91857CE7	Nucleolus	biomolecular
P35579	91857CE7	Nucleolus	biomolecular
O60282	91857CE7	Nucleolus	biomolecular
P46100	91857CE7	Nucleolus	biomolecular
Q96D46	91857CE7	Nucleolus	biomolecular
Q9Y2X3	91857CE7	Nucleolus	biomolecular
P46087	91857CE7	Nucleolus	biomolecular
P06241	91857CE7	Nucleolus	biomolecular
P61160	91857CE7	Nucleolus	biomolecular
P09651	91857CE7	Nucleolus	biomolecular
O75348	91857CE7	Nucleolus	biomolecular
Q6FI13	91857CE7	Nucleolus	biomolecular
Q7L014	91857CE7	Nucleolus	biomolecular
P24941	91857CE7	Nucleolus	biomolecular
Q9BSJ8	91857CE7	Nucleolus	biomolecular
O75953	91857CE7	Nucleolus	biomolecular
P08263	91857CE7	Nucleolus	biomolecular
Q96C01	91857CE7	Nucleolus	biomolecular
Q6XPS3	91857CE7	Nucleolus	biomolecular
P0DMV9	91857CE7	Nucleolus	biomolecular
O00444	91857CE7	Nucleolus	biomolecular
Q9NRC8	91857CE7	Nucleolus	biomolecular
Q3ZCM7	91857CE7	Nucleolus	biomolecular
P48643	91857CE7	Nucleolus	biomolecular
Q9Y2S6	91857CE7	Nucleolus	biomolecular
Q9H4L4	91857CE7	Nucleolus	biomolecular
P40926	91857CE7	Nucleolus	biomolecular
P00450	91857CE7	Nucleolus	biomolecular
P49458	91857CE7	Nucleolus	biomolecular
P40306	91857CE7	Nucleolus	biomolecular
P63173	91857CE7	Nucleolus	biomolecular
Q9Y371	91857CE7	Nucleolus	biomolecular
Q7L622	91857CE7	Nucleolus	biomolecular
Q14966	91857CE7	Nucleolus	biomolecular
Q9BTT4	91857CE7	Nucleolus	biomolecular
Q9ULC4	91857CE7	Nucleolus	biomolecular
P23921	91857CE7	Nucleolus	biomolecular
Q9BRJ6	91857CE7	Nucleolus	biomolecular
O75694	91857CE7	Nucleolus	biomolecular
Q00325	91857CE7	Nucleolus	biomolecular
Q96EY4	91857CE7	Nucleolus	biomolecular
Q14498	91857CE7	Nucleolus	biomolecular
P25205	91857CE7	Nucleolus	biomolecular
P11021	91857CE7	Nucleolus	biomolecular
O75940	91857CE7	Nucleolus	biomolecular
P20962	91857CE7	Nucleolus	biomolecular
Q96P11	91857CE7	Nucleolus	biomolecular
P62979	91857CE7	Nucleolus	biomolecular
Q9H116	91857CE7	Nucleolus	biomolecular
O76021	91857CE7	Nucleolus	biomolecular
P08559	91857CE7	Nucleolus	biomolecular
O75643	91857CE7	Nucleolus	biomolecular
Q9BQE6	91857CE7	Nucleolus	biomolecular
P56182	91857CE7	Nucleolus	biomolecular
Q5VTR2	91857CE7	Nucleolus	biomolecular
Q96FK6	91857CE7	Nucleolus	biomolecular
Q9NVM4	91857CE7	Nucleolus	biomolecular
Q96E39	91857CE7	Nucleolus	biomolecular
P46013	91857CE7	Nucleolus	biomolecular
P50914	91857CE7	Nucleolus	biomolecular
Q9NTJ3	91857CE7	Nucleolus	biomolecular
P18077	91857CE7	Nucleolus	biomolecular
Q9GZV4	91857CE7	Nucleolus	biomolecular
P14866	91857CE7	Nucleolus	biomolecular
Q9H8L6	91857CE7	Nucleolus	biomolecular
Q9Y2W2	91857CE7	Nucleolus	biomolecular
Q9NRF9	91857CE7	Nucleolus	biomolecular
Q14004	91857CE7	Nucleolus	biomolecular
