side	distance_aa	count_within_distance	total_on_side	fraction_within_distance	expected_count_within_distance	expected_total_site_weighted	expected_fraction_within_distance	obs_minus_expected_fraction
N	167	1348	1994	0.6760280842527583	1367.4557919886413	1994	0.6857852517495694	-0.009757167496811103
N	168	1350	1994	0.6770310932798396	1370.7063268037873	1994	0.687415409630786	-0.010384316350946388
N	169	1354	1994	0.679037111334002	1374.3078410431872	1994	0.6892215852774258	-0.01018447394342381
N	170	1354	1994	0.679037111334002	1375.5261758522195	1994	0.6898325856831592	-0.010795474349157175
N	171	1356	1994	0.6800401203610833	1378.5595091855523	1994	0.6913538160408988	-0.01131369567981555
N	172	1359	1994	0.6815446339017052	1381.6603412238826	1994	0.6929088973038529	-0.01136426340214769
N	173	1361	1994	0.6825476429287863	1384.1275197660616	1994	0.6941461984784661	-0.011598555549679812
N	174	1365	1994	0.6845536609829489	1386.6494173129597	1994	0.6954109414809226	-0.010857280497973743
N	175	1366	1994	0.6850551654964895	1388.7731047366467	1994	0.6964759803092511	-0.011420814812761582
N	176	1369	1994	0.6865596790371113	1391.3440102200527	1994	0.6977653010130656	-0.011205621975954205
N	177	1373	1994	0.6885656970912738	1395.4982158521216	1994	0.699848653887724	-0.011282956796450194
N	178	1376	1994	0.6900702106318957	1398.5509455298513	1994	0.7013796115997248	-0.011309400967829175
N	179	1377	1994	0.6905717151454364	1400.2748175837232	1994	0.7022441412155082	-0.011672426070071795
N	180	1380	1994	0.6920762286860582	1402.408304728623	1994	0.7033140946482563	-0.011237865962198113
N	181	1382	1994	0.6930792377131394	1402.9952359455542	1994	0.7036084433026851	-0.010529205589545731
N	182	1383	1994	0.6935807422266801	1404.442921130739	1994	0.7043344639572412	-0.010753721730561105
N	183	1387	1994	0.6955867602808425	1407.684584399981	1994	0.7059601727181449	-0.010373412437302387
N	184	1390	1994	0.6970912738214644	1409.202988888212	1994	0.7067216594223732	-0.009630385600908786
N	185	1393	1994	0.6985957873620863	1410.4062946590338	1994	0.7073251226976097	-0.008729335335523447
